[00:09:28.600 --> 00:09:31.100]  今天的話大概我們是從兩個維度
[00:39:15.700 --> 00:39:17.700]  就是先把交易的一個預期目標先定好
[00:39:17.700 --> 00:39:19.700]  我板塊能夠走Sinov
[00:39:19.700 --> 00:39:21.700]  那我個不肯定走波段
[00:39:21.700 --> 00:39:23.700]  主上中期的Sinov肯定有
[00:39:23.700 --> 00:39:24.700]  對不對
[00:39:24.700 --> 00:39:26.700]  那如果指數走不出來
[00:39:26.700 --> 00:39:29.700]  但是板塊走出來就做板塊
[00:39:29.700 --> 00:39:32.700]  那如果說板塊也能夠指數也能夠走出來
[00:39:32.700 --> 00:39:34.700]  接下來是走單邊
[00:39:34.700 --> 00:39:35.700]  對吧
[00:39:35.700 --> 00:39:36.700]  走陽循環
[00:39:36.700 --> 00:39:38.700]  然後板塊又能夠走Sinov
[00:39:38.700 --> 00:39:40.700]  那你就考慮趨勢
[00:39:40.700 --> 00:39:42.700]  做中長期趨勢
[00:39:42.700 --> 00:39:44.700]  這種機會目前我們現在
[00:39:44.700 --> 00:39:47.700]  我們說極少成多就賺小錢
[00:39:47.700 --> 00:39:49.700]  真正在未來的三當五年
[00:39:49.700 --> 00:39:51.700]  只有這個指數走單邊
[00:39:51.700 --> 00:39:52.700]  板塊走Sinov
[00:39:52.700 --> 00:39:54.700]  做趨勢的時候才是
[00:39:54.700 --> 00:39:57.700]  最好的快速走轉的一個時間
[00:39:57.700 --> 00:39:58.700]  一個階段
[00:39:58.700 --> 00:39:59.700]  也就是這是一點
[00:39:59.700 --> 00:40:02.700]  那麼反過來我們現在是屬於什麼呢
[00:40:02.700 --> 00:40:04.700]  指數正當
[00:40:04.700 --> 00:40:06.700]  指數既沒有單邊上
[00:40:06.700 --> 00:40:07.700]  也沒有單邊下
[00:40:07.700 --> 00:40:08.700]  就是一個曲線正當
[00:40:08.700 --> 00:40:10.700]  就說明它沒有方向選擇對不對
[00:40:10.700 --> 00:40:13.700]  板塊也看不出明顯的方向選擇
[00:40:13.700 --> 00:40:16.700]  其實我們所講的是Sinov的方向選擇
[00:40:16.700 --> 00:40:18.700]  但是現在板塊它走的是什麼
[00:40:18.700 --> 00:40:19.700]  你的下邊板塊
[00:40:19.700 --> 00:40:21.700]  或正當中的陽線對不對
[00:40:21.700 --> 00:40:23.700]  沒有明顯的方向選擇
[00:40:23.700 --> 00:40:24.700]  那你必須給我保證
[00:40:24.700 --> 00:40:26.700]  各個步必須單邊主升
[00:40:26.700 --> 00:40:28.700]  所以我們做的是小波段
[00:40:28.700 --> 00:40:31.700]  短達小波段
[00:40:31.700 --> 00:40:33.700]  但是這個思路能理解嗎
[00:40:33.700 --> 00:40:35.700]  因為我們是不是我都有
[00:40:35.700 --> 00:40:37.700]  我們是不是有圈子的這個
[00:40:37.700 --> 00:40:40.700]  檯面的一個分享
[00:40:40.700 --> 00:40:41.700]  對吧
[00:40:41.700 --> 00:40:42.700]  檯面分享的價值是什麼
[00:40:42.700 --> 00:40:45.700]  就是告訴大家它現在這個天時是如何的
[00:40:45.700 --> 00:40:47.700]  你應該如何去
[00:40:47.700 --> 00:40:50.700]  根據這個天時做出應對
[00:40:50.700 --> 00:40:51.700]  大家明白我意思
[00:40:51.700 --> 00:40:52.700]  大家理解吧是這樣吧
[00:40:52.700 --> 00:40:54.700]  這圈子的價值是在這
[00:40:54.700 --> 00:40:55.700]  為什麼像這種情況下
[00:40:55.700 --> 00:40:57.700]  我們我沒辦法講板塊
[00:40:57.700 --> 00:40:58.700]  一旦涉及到這個的時候
[00:40:58.700 --> 00:41:01.700]  我肯定會跟它講板塊的
[00:41:01.700 --> 00:41:03.700]  板塊能夠具備走三當的時候
[00:41:03.700 --> 00:41:05.700]  我肯定會跟它講很明確的板塊的
[00:41:05.700 --> 00:41:07.700]  但如果板塊走到這裡的時候
[00:41:07.700 --> 00:41:08.700]  那肯定就告訴大家
[00:41:08.700 --> 00:41:09.700]  接下來就是
[00:41:09.700 --> 00:41:10.700]  就這個
[00:41:10.700 --> 00:41:12.700]  我們在那幾年以來
[00:41:12.700 --> 00:41:13.700]  人造的一個機會
[00:41:13.700 --> 00:41:16.700]  那就是我們要好好去保護的
[00:41:16.700 --> 00:41:17.700]  所以我們說機會
[00:41:17.700 --> 00:41:18.700]  機會在這
[00:41:18.700 --> 00:41:19.700]  然後根據這個什麼
[00:41:19.700 --> 00:41:22.700]  各國板塊和指數去進行一個
[00:41:22.700 --> 00:41:24.700]  回到我們所謂的大機會
[00:41:24.700 --> 00:41:25.700]  四大小機會
[00:41:25.700 --> 00:41:26.700]  一個降
[00:41:26.700 --> 00:41:27.700]  最高維度的降尾再到降尾
[00:41:27.700 --> 00:41:28.700]  現在能做嗎
[00:41:28.700 --> 00:41:30.700]  能做什麼樣的一個類型
[00:41:30.700 --> 00:41:32.700]  這個大家可能明白我意思了吧
[00:41:32.700 --> 00:41:34.700]  理解的話我們就做了
[00:41:34.700 --> 00:41:37.700]  然後我就開始教大家方法
[00:41:37.700 --> 00:41:39.700]  對吧這個理解就是
[00:41:39.700 --> 00:41:42.700]  中長期長期怎麼看
[00:41:42.700 --> 00:41:44.700]  中長期長期沒有
[00:41:44.700 --> 00:41:46.700]  那麼那個波段怎麼看
[00:41:46.700 --> 00:41:48.700]  中長期波段都沒有
[00:41:48.700 --> 00:41:49.700]  短線怎麼看
[00:41:49.700 --> 00:41:51.700]  對吧這就是回到方法論了
[00:41:51.700 --> 00:41:52.700]  體系論了
[00:41:52.700 --> 00:41:53.700]  所有的體系論之前
[00:41:53.700 --> 00:41:55.700]  首先要做個認知
[00:41:55.700 --> 00:41:58.700]  就是我覺得這次我也是第一次講
[00:41:58.700 --> 00:41:59.700]  就是什麼呢
[00:41:59.700 --> 00:42:00.700]  就是要靈活
[00:42:00.700 --> 00:42:01.700]  就是我們叫什麼
[00:42:01.700 --> 00:42:02.700]  就是我自己給自己
[00:42:02.700 --> 00:42:04.700]  真的就是市場給啥
[00:42:04.700 --> 00:42:05.700]  我就做啥
[00:42:05.700 --> 00:42:07.700]  我們原來跟大家分享的就是
[00:42:07.700 --> 00:42:09.700]  不管市場是什麼
[00:42:09.700 --> 00:42:11.700]  我只要做波段
[00:42:11.700 --> 00:42:12.700]  對吧
[00:42:12.700 --> 00:42:13.700]  是不是就是
[00:42:13.700 --> 00:42:15.700]  其實這是一個很大的轉變
[00:42:15.700 --> 00:42:17.700]  對我來講其實轉變
[00:42:17.700 --> 00:42:18.700]  我覺得就是
[00:42:18.700 --> 00:42:20.700]  我自己覺得我發達很大的任務
[00:42:20.700 --> 00:42:21.700]  才發生這個轉變
[00:42:21.700 --> 00:42:23.700]  就是希望大家也是一樣的
[00:42:23.700 --> 00:42:24.700]  我們要分水
[00:42:24.700 --> 00:42:27.700]  叫做這種轉變去發生變化
[00:42:27.700 --> 00:42:29.700]  但這個靈活的過程我在這提醒
[00:42:29.700 --> 00:42:31.700]  不要太小
[00:42:31.700 --> 00:42:32.700]  不要太小
[00:42:32.700 --> 00:42:34.700]  日線我過去要日線比較久了
[00:42:34.700 --> 00:42:36.700]  日線最起碼也是單分主生
[00:42:36.700 --> 00:42:37.700]  覺得只有個
[00:42:37.700 --> 00:42:38.700]  一週多
[00:42:38.700 --> 00:42:39.700]  一週多的時間
[00:42:39.700 --> 00:42:42.700]  有個二十個點多的空間比較小
[00:42:42.700 --> 00:42:44.700]  像這種今天長明天就沒有了
[00:42:44.700 --> 00:42:45.700]  你就不要看了
[00:42:45.700 --> 00:42:46.700]  這種就太小了
[00:42:46.700 --> 00:42:48.700]  這不是我們所追求的
[00:42:48.700 --> 00:42:54.700]  我們回到這裡
[00:42:54.700 --> 00:42:55.700]  就是學習的理解
[00:42:55.700 --> 00:42:56.700]  這個我就不展開了
[00:42:56.700 --> 00:42:57.700]  因為我主要
[00:42:57.700 --> 00:43:00.700]  我覺得我們學習是提升認知
[00:43:00.700 --> 00:43:03.700]  我聊一下這個學習的一個過程
[00:43:03.700 --> 00:43:06.700]  我覺得是一件很艱辛的過程
[00:43:06.700 --> 00:43:08.700]  喜歡就不艱辛
[00:43:08.700 --> 00:43:11.700]  我自己在家裡花功夫的話
[00:43:11.700 --> 00:43:12.700]  有時候幾天的時間
[00:43:12.700 --> 00:43:14.700]  就把這個課間又給過一點
[00:43:14.700 --> 00:43:15.700]  自己過
[00:43:15.700 --> 00:43:16.700]  自己一點點的梳理
[00:43:16.700 --> 00:43:19.700]  就是喜歡就不會說很辛苦
[00:43:19.700 --> 00:43:20.700]  但是我再跟大家講
[00:43:20.700 --> 00:43:22.700]  再怎麼喜歡你會發現
[00:43:22.700 --> 00:43:24.700]  對這個市場的認知是立體的
[00:43:24.700 --> 00:43:27.700]  它是維度是不斷不斷在提升
[00:43:27.700 --> 00:43:28.700]  在變化的
[00:43:28.700 --> 00:43:29.700]  你覺得你認知透了
[00:43:29.700 --> 00:43:31.700]  發現還有一個坑要填滿
[00:43:31.700 --> 00:43:33.700]  你覺得你認知透了
[00:43:33.700 --> 00:43:35.700]  發現還有一個坑要填滿的一個過程
[00:43:35.700 --> 00:43:36.700]  為什麼呢
[00:43:36.700 --> 00:43:39.700]  最大的區別是市場永遠在變
[00:43:39.700 --> 00:43:40.700]  就是你像我們現在
[00:43:40.700 --> 00:43:43.700]  如果說按照2018年的交易體系
[00:43:43.700 --> 00:43:45.700]  去印就基本上
[00:43:45.700 --> 00:43:47.700]  比如說2018年的知識體系
[00:43:47.700 --> 00:43:49.700]  那個階段對市場的理解
[00:43:49.700 --> 00:43:51.700]  跟印度現在就很難印度
[00:43:51.700 --> 00:43:52.700]  因為市場在變化
[00:43:52.700 --> 00:43:53.700]  對吧
[00:43:53.700 --> 00:43:54.700]  所以我們最大的一點就是
[00:43:54.700 --> 00:43:56.700]  不斷要跟上市場的一個變化
[00:43:56.700 --> 00:43:58.700]  然後我還想跟大家分享一句
[00:43:58.700 --> 00:44:01.700]  我覺得股市的風險非常大
[00:44:01.700 --> 00:44:03.700]  為什麼說這句話
[00:44:03.700 --> 00:44:04.700]  大家有沒有發現
[00:44:04.700 --> 00:44:07.700]  我們股票是5000多個
[00:44:07.700 --> 00:44:11.700]  還是5400還是5500吧
[00:44:11.700 --> 00:44:12.700]  我說實話
[00:44:12.700 --> 00:44:15.700]  我覺得股市的風險非常大
[00:44:15.700 --> 00:44:16.700]  這句話我送給大家
[00:44:16.700 --> 00:44:18.700]  我以前覺得沒有那麼那個的
[00:44:18.700 --> 00:44:20.700]  但是我現在越來越感受到
[00:44:20.700 --> 00:44:24.700]  你看5115
[00:44:24.700 --> 00:44:25.700]  為什麼講這句話呢
[00:44:25.700 --> 00:44:27.700]  第一個
[00:44:27.700 --> 00:44:30.700]  要漲的股票太少
[00:44:30.700 --> 00:44:32.700]  就是5000多個裡面
[00:44:32.700 --> 00:44:36.700]  能夠產生持續性上漲的機會太少
[00:44:36.700 --> 00:44:37.700]  大家認同吧
[00:44:37.700 --> 00:44:39.700]  我們真正要做的就是
[00:44:39.700 --> 00:44:42.700]  那個持續性上漲的機會
[00:44:42.700 --> 00:44:45.700]  所以說可能90%以上的股票
[00:44:45.700 --> 00:44:48.700]  都不可能持續上漲
[00:44:48.700 --> 00:44:49.700]  甚至某一個階段
[00:44:49.700 --> 00:44:51.700]  就是持續上漲就是某一個階段
[00:44:51.700 --> 00:44:53.700]  甚至你現在有很多股票
[00:44:53.700 --> 00:44:55.700]  是從2015年見頂之後
[00:44:55.700 --> 00:44:57.700]  到現在都沒有怎麼漲過
[00:44:57.700 --> 00:44:59.700]  很多一大把
[00:44:59.700 --> 00:45:00.700]  所以我覺得
[00:45:00.700 --> 00:45:01.700]  我現在講跟大家分享的就是
[00:45:01.700 --> 00:45:04.700]  我覺得股市的機會真的是很大的
[00:45:04.700 --> 00:45:07.700]  之前一直在說股市有風險
[00:45:07.700 --> 00:45:08.700]  股市是緊勝
[00:45:08.700 --> 00:45:09.700]  還沒感覺
[00:45:09.700 --> 00:45:10.700]  現在覺得真的是很大
[00:45:10.700 --> 00:45:11.700]  最終可能
[00:45:11.700 --> 00:45:15.700]  特別是像現在你會更加明顯
[00:45:15.700 --> 00:45:17.700]  指數漲的時候很漂亮
[00:45:17.700 --> 00:45:19.700]  板塊漲的時候很漂亮
[00:45:19.700 --> 00:45:21.700]  但是你一看個股
[00:45:21.700 --> 00:45:24.700]  都是好多好多沒見過的
[00:45:24.700 --> 00:45:25.700]  啪一個陽線沒了
[00:45:25.700 --> 00:45:27.700]  但是把指數帶好了
[00:45:27.700 --> 00:45:28.700]  把板塊帶好了
[00:45:28.700 --> 00:45:30.700]  但跟我們的機會有沒有相關呢
[00:45:30.700 --> 00:45:31.700]  沒有
[00:45:31.700 --> 00:45:33.700]  復盤下來根本就找不到一個
[00:45:33.700 --> 00:45:37.700]  非常符合我們很確定性的機會
[00:45:37.700 --> 00:45:39.700]  所以我覺得股市的機會是非常之大的
[00:45:39.700 --> 00:45:41.700]  想跟大家說這句話
[00:45:41.700 --> 00:45:45.700]  甚至我覺得哪怕我們接下來坑底起來之後
[00:45:45.700 --> 00:45:46.700]  未來指數走單邊
[00:45:46.700 --> 00:45:47.700]  走陽的週期
[00:45:47.700 --> 00:45:49.700]  陽的週期就是上升的週期
[00:45:49.700 --> 00:45:51.700]  也是操作難度很大的
[00:45:51.700 --> 00:45:54.700]  大家要有這種心理預期和準備
[00:45:54.700 --> 00:45:56.700]  所以這種大的過程中
[00:45:56.700 --> 00:45:59.700]  對於局部的方向的把握
[00:45:59.700 --> 00:46:01.700]  就是我們說的結構性的機會的
[00:46:01.700 --> 00:46:05.700]  去把握要求就會更高了
[00:46:05.700 --> 00:46:08.700]  那麼反之我想送大家一句話
[00:46:08.700 --> 00:46:09.700]  你可以不研究指數
[00:46:09.700 --> 00:46:13.700]  但是你必須研究板塊
[00:46:13.700 --> 00:46:14.700]  大家明白我的意思沒有
[00:46:14.700 --> 00:46:16.700]  就是你可以不研究指數
[00:46:16.700 --> 00:46:19.700]  比如說我做分享我可能稍微講一下
[00:46:19.700 --> 00:46:21.700]  但你必須研究板塊
[00:46:21.700 --> 00:46:25.700]  把板塊的熊油熊黃一定要搞明白
[00:46:25.700 --> 00:46:27.700]  大家理解我的意思嗎
[00:46:27.700 --> 00:46:29.700]  就是我可以不研究指數
[00:46:29.700 --> 00:46:31.700]  但是我用我們板塊的方法
[00:46:31.700 --> 00:46:32.700]  也是我們波段結構水
[00:46:32.700 --> 00:46:34.700]  包括我今天會分享的趨勢的一個機會
[00:46:34.700 --> 00:46:37.700]  你一定要把板塊給研究透
[00:46:37.700 --> 00:46:40.700]  只要這個板塊具備我所教給大家的
[00:46:40.700 --> 00:46:43.700]  熊結束轉牛
[00:46:43.700 --> 00:46:46.700]  你就盯著這個板塊反復做
[00:46:46.700 --> 00:46:47.700]  這句話含金量很高
[00:46:47.700 --> 00:46:51.700]  希望你們自己好好的去記在心裡面
[00:46:51.700 --> 00:46:54.700]  一定要把板塊研究透
[00:46:54.700 --> 00:46:57.700]  只要這個板塊符合我教給你們的
[00:46:57.700 --> 00:47:00.700]  熊牛的體系就具備了
[00:47:00.700 --> 00:47:03.700]  你就在這個板塊裡面反復做個股
[00:47:03.700 --> 00:47:05.700]  不要跳脫這個板塊
[00:47:05.700 --> 00:47:10.700]  直到這個板塊的趨勢結束
[00:47:10.700 --> 00:47:12.700]  這句話的含金量非常之高
[00:47:12.700 --> 00:47:13.700]  因為指數大家可以看到
[00:47:13.700 --> 00:47:14.700]  我也沒怎麼跟大家講
[00:47:14.700 --> 00:47:16.700]  只告訴大家一個大方向
[00:47:16.700 --> 00:47:18.700]  但這個坑底的過程中
[00:47:18.700 --> 00:47:20.700]  是哪些板塊走出來
[00:47:20.700 --> 00:47:21.700]  你必須要有這個嗎
[00:47:21.700 --> 00:47:24.700]  就把焦點放在這
[00:47:24.700 --> 00:47:27.700]  板塊的方向有很多種
[00:47:27.700 --> 00:47:29.700]  一定要研究板塊
[00:47:29.700 --> 00:47:30.700]  就是符合我所講的
[00:47:30.700 --> 00:47:32.700]  一會兒我會跟大家講標準的
[00:47:32.700 --> 00:47:37.700]  對於不同級別行情的應變標準是什麼
[00:47:37.700 --> 00:47:39.700]  如果這個思維不具備
[00:47:39.700 --> 00:47:41.700]  哪怕未來走結構性牛市
[00:47:41.700 --> 00:47:44.700]  或是正當向上的趨勢多週期
[00:47:44.700 --> 00:47:47.700]  你也賺不到錢
[00:47:47.700 --> 00:47:50.700]  因為我們很多時候就是大盤到個股
[00:47:50.700 --> 00:47:52.700]  現在我跟大家改變的是什麼
[00:47:52.700 --> 00:47:54.700]  板塊到個股
[00:47:54.700 --> 00:47:56.700]  大盤你都可以不怎麼看
[00:47:56.700 --> 00:47:57.700]  因為你知道的
[00:47:57.700 --> 00:47:58.700]  板塊沒有
[00:47:58.700 --> 00:47:59.700]  我想問大家
[00:47:59.700 --> 00:48:01.700]  沒有好的板塊能夠起來
[00:48:01.700 --> 00:48:03.700]  指數好得了嗎
[00:48:03.700 --> 00:48:05.700]  好不好得了
[00:48:05.700 --> 00:48:07.700]  肯定好不了對不對
[00:48:07.700 --> 00:48:08.700]  那說白了
[00:48:08.700 --> 00:48:10.700]  指數是由什麼來帶動的
[00:48:10.700 --> 00:48:12.700]  大盤是由什麼來帶動的
[00:48:12.700 --> 00:48:14.700]  是由板塊來帶動的
[00:48:14.700 --> 00:48:16.700]  那反之我問大家一個問題
[00:48:16.700 --> 00:48:18.700]  如果板塊有幾個板塊
[00:48:18.700 --> 00:48:20.700]  我們都能夠判斷出來
[00:48:20.700 --> 00:48:22.700]  接下來要走三了
[00:48:22.700 --> 00:48:24.700]  指數必然好
[00:48:24.700 --> 00:48:26.700]  大家理解我意思沒有
[00:48:26.700 --> 00:48:27.700]  指數就必然好
[00:48:27.700 --> 00:48:30.700]  其實我像以前判斷中期趨勢機會的時候
[00:48:30.700 --> 00:48:32.700]  就是這個邏輯
[00:48:32.700 --> 00:48:35.700]  就是為什麼指數還沒有表現
[00:48:35.700 --> 00:48:37.700]  然後我認為這個位置跌不下去了
[00:48:37.700 --> 00:48:39.700]  接下來應該要走一個中期
[00:48:39.700 --> 00:48:41.700]  就是這個邏輯
[00:48:41.700 --> 00:48:44.700]  那我這個邏輯就好如保留的分享給大家
[00:48:44.700 --> 00:48:47.700]  你就給我盯著板塊
[00:48:47.700 --> 00:48:48.700]  大盤不用看
[00:48:48.700 --> 00:48:49.700]  板塊沒戲
[00:48:49.700 --> 00:48:50.700]  指數就沒戲
[00:48:50.700 --> 00:48:51.700]  就在這裡震盪
[00:48:51.700 --> 00:48:53.700]  漲漲跌跌 漲漲跌跌輪動
[00:48:53.700 --> 00:48:54.700]  板塊來了
[00:48:54.700 --> 00:48:55.700]  大盤也不用看了
[00:48:55.700 --> 00:48:57.700]  自然會震盪向上的
[00:48:57.700 --> 00:49:00.700]  這句話你們自己好好去感悟好不好
[00:49:00.700 --> 00:49:02.700]  然後接下來就是
[00:49:02.700 --> 00:49:04.700]  慢慢展開方法
[00:49:04.700 --> 00:49:15.700]  他那個畫筒開了
[00:49:15.700 --> 00:49:17.700]  那我用這個好了
[00:49:17.700 --> 00:49:29.700]  今天估計又是我們來看一下
[00:49:29.700 --> 00:49:31.700]  今天又是輪動嗎
[00:49:31.700 --> 00:49:32.700]  房產服務
[00:49:32.700 --> 00:49:34.700]  還是房地產這個什麼
[00:49:34.700 --> 00:49:37.700]  房地產的政策是真的最近頻發
[00:49:37.700 --> 00:49:38.700]  對吧
[00:49:38.700 --> 00:49:39.700]  就是房地產服務
[00:49:39.700 --> 00:49:41.700]  其他基本上就是輪動了
[00:49:41.700 --> 00:49:44.700]  漲幅放跌幅吧
[00:49:44.700 --> 00:49:45.700]  超過
[00:49:45.700 --> 00:49:47.700]  現在就是這種輪動在這裡震盪
[00:49:47.700 --> 00:49:49.700]  所以我說這種輪動的過程中
[00:49:49.700 --> 00:49:51.700]  回頭我跟大家講個個的把握
[00:49:51.700 --> 00:49:53.700]  這個包括板塊指數怎麼去看
[00:49:53.700 --> 00:49:56.700]  它有一個短期的延展期 延續性
[00:49:56.700 --> 00:49:58.700]  我們先學方法
[00:49:58.700 --> 00:50:01.700]  好 這兩句話送給大家
[00:50:01.700 --> 00:50:03.700]  我那天在看孫子兵法的書的時候
[00:50:03.700 --> 00:50:05.700]  有很多句話都很有感覺
[00:50:05.700 --> 00:50:10.700]  但這句話我就一定要編寫在PPT裡面
[00:50:10.700 --> 00:50:14.700]  聖兵先勝而後求戰
[00:50:14.700 --> 00:50:17.700]  拜兵先戰而後求勝
[00:50:17.700 --> 00:50:20.700]  我覺得這跟我們做股票太相關了
[00:50:20.700 --> 00:50:23.700]  就是真的太相關了
[00:50:23.700 --> 00:50:26.700]  我們好多時候是先買了
[00:50:26.700 --> 00:50:28.700]  就想像它一定會好
[00:50:28.700 --> 00:50:31.700]  是不是這樣子的
[00:50:31.700 --> 00:50:33.700]  對吧 我先買了
[00:50:33.700 --> 00:50:34.700]  再想像它一定會好
[00:50:34.700 --> 00:50:36.700]  然後我把它的注意我都打出來了
[00:50:37.700 --> 00:50:40.700]  聖兵打聖仗的針對
[00:50:40.700 --> 00:50:44.700]  先勝是指先取得必勝的形式
[00:50:44.700 --> 00:50:47.700]  就像我們說做波段 做趨勢
[00:50:47.700 --> 00:50:51.700]  我們一定要知道那個形式指數要走單邊
[00:50:51.700 --> 00:50:53.700]  板塊要走三那
[00:50:53.700 --> 00:50:55.700]  個股要走三那
[00:50:55.700 --> 00:50:57.700]  即將啊 不是已經啊
[00:50:57.700 --> 00:50:59.700]  這個形式來了
[00:50:59.700 --> 00:51:02.700]  然後我再宣戰 我再打進去
[00:51:02.700 --> 00:51:04.700]  是不是 就是打聖仗
[00:51:04.700 --> 00:51:09.700]  打聖仗的針對就是總是取得必勝的形式而後
[00:51:09.700 --> 00:51:11.700]  再向敵國宣戰
[00:51:11.700 --> 00:51:14.700]  我覺得跟我們做股票真的太相關了
[00:51:14.700 --> 00:51:16.700]  這我們想要賺錢
[00:51:16.700 --> 00:51:18.700]  因為我前面講的一個負力
[00:51:18.700 --> 00:51:19.700]  大家發現一點
[00:51:19.700 --> 00:51:22.700]  負力最怕的是回撤
[00:51:22.700 --> 00:51:25.700]  對吧 是不是最害怕的就是回撤
[00:51:25.700 --> 00:51:28.700]  只要你回撤你的負力就增長不起來
[00:51:28.700 --> 00:51:31.700]  所以反之怎麼樣讓你寧可
[00:51:31.700 --> 00:51:34.700]  我現在的原則就是寧可我不買
[00:51:34.700 --> 00:51:37.700]  但是我買我的勝率一定要高
[00:51:37.700 --> 00:51:40.700]  然後如果說勝率不高
[00:51:40.700 --> 00:51:43.700]  我的防守回撤的執行力不對我一定跑得很快
[00:51:43.700 --> 00:51:46.700]  就是我回撤 比如說我賺到20個點
[00:51:46.700 --> 00:51:50.700]  我回撤一定是回撤我利潤裡面的一兩個點兩三個點
[00:51:50.700 --> 00:51:52.700]  我覺得不可能說我賺20個點
[00:51:52.700 --> 00:51:54.700]  再20個點沒再回到我的本金
[00:51:54.700 --> 00:51:56.700]  虧2個4兩三個點我再出
[00:51:56.700 --> 00:51:58.700]  那是不可能的
[00:51:58.700 --> 00:52:00.700]  那我就不可能負力
[00:52:00.700 --> 00:52:01.700]  大家能理解我意思嗎
[00:52:01.700 --> 00:52:03.700]  因為我們大多數像嘉嘉姐那天跟我說
[00:52:03.700 --> 00:52:05.700]  就是賺到20個點最後虧幾個點出來
[00:52:05.700 --> 00:52:11.700]  我覺得真的是挺心痛的
[00:52:11.700 --> 00:52:12.700]  就是大家對於這個
[00:52:12.700 --> 00:52:14.700]  就是我們做股票本身的局勢
[00:52:14.700 --> 00:52:16.700]  特別是明後天我們在講K線的時候
[00:52:16.700 --> 00:52:18.700]  我會把K線給它卡到很牢
[00:52:18.700 --> 00:52:21.700]  因為現在的這種環境不卡牢細節
[00:52:21.700 --> 00:52:24.700]  它就容易什麼出錯
[00:52:24.700 --> 00:52:25.700]  你必須是把
[00:52:25.700 --> 00:52:27.700]  就是原來我們做趨勢做波段的時候
[00:52:27.700 --> 00:52:29.700]  我們講什麼區域買
[00:52:29.700 --> 00:52:31.700]  看這個方向線OK
[00:52:31.700 --> 00:52:32.700]  我就可以埋伏了對不對
[00:52:32.700 --> 00:52:34.700]  現在這種環境就不行
[00:52:34.700 --> 00:52:36.700]  就得卡的牢牢的
[00:52:36.700 --> 00:52:39.700]  就那一根K線拐一點都必須嚴苛
[00:52:39.700 --> 00:52:40.700]  大家明白我的意思沒有
[00:52:40.700 --> 00:52:42.700]  就是目標是什麼
[00:52:42.700 --> 00:52:45.700]  就是我讓自己出手的概率是高的
[00:52:45.700 --> 00:52:47.700]  然後回撤的防守是小的
[00:52:47.700 --> 00:52:49.700]  會跟人家卡的很嚴苛的
[00:52:49.700 --> 00:52:53.700]  所以這兩句話希望大家好好去感受
[00:52:53.700 --> 00:52:56.700]  因為每個人都在自己的交易的這個盤面
[00:52:56.700 --> 00:52:57.700]  這個環境
[00:52:57.700 --> 00:53:01.700]  你很瞭解你自己是先戰而後求勝
[00:53:01.700 --> 00:53:05.700]  還是先勝而後求戰
[00:53:05.700 --> 00:53:08.700]  我們一定要把自己的這個觀念糾正過來
[00:53:08.700 --> 00:53:10.700]  就是先勝而後求戰
[00:53:10.700 --> 00:53:14.700]  就是你必須觀察整個指數板塊個股
[00:53:14.700 --> 00:53:15.700]  甚至個股的走勢
[00:53:15.700 --> 00:53:18.700]  它具不具備取得上漲
[00:53:18.700 --> 00:53:21.700]  百分之八九十大概率上漲的這種什麼
[00:53:21.700 --> 00:53:23.700]  預期你在考慮買入
[00:53:23.700 --> 00:53:25.700]  你不能說我感覺好
[00:53:25.700 --> 00:53:27.700]  盤中一衝動看到這個板塊一輪動
[00:53:27.700 --> 00:53:28.700]  這個股票飄起來
[00:53:28.700 --> 00:53:29.700]  我就買進去了
[00:53:29.700 --> 00:53:31.700]  買進去之後我覺得這個股票肯定好的
[00:53:31.700 --> 00:53:32.700]  他們漲
[00:53:32.700 --> 00:53:34.700]  結果反而是什麼
[00:53:34.700 --> 00:53:36.700]  反而是敗兵
[00:53:36.700 --> 00:53:38.700]  反而形成了敗兵
[00:53:38.700 --> 00:53:39.700]  這個我們說
[00:53:39.700 --> 00:53:46.700]  自我感悟一定調整到先勝而後求戰
[00:53:46.700 --> 00:53:47.700]  那麼做股票的核心思維
[00:53:47.700 --> 00:53:52.700]  第一個我覺得很重要的是強者思維
[00:53:52.700 --> 00:53:57.700]  強者思維裡面體現在趕進攻趕破局趕我輸了算
[00:53:57.700 --> 00:54:01.700]  這三個趕我都會從K線上從形態上告訴大家的
[00:54:01.700 --> 00:54:03.700]  第一個趕進攻是什麼
[00:54:03.700 --> 00:54:06.700]  第一個趕進攻是什麼
[00:54:06.700 --> 00:54:09.700]  比如說下跌的股票
[00:54:09.700 --> 00:54:13.700]  下跌的股票趕反轉是不是趕進攻
[00:54:13.700 --> 00:54:14.700]  趕扭轉
[00:54:14.700 --> 00:54:15.700]  對不對
[00:54:15.700 --> 00:54:17.700]  第二個趕破局是什麼
[00:54:17.700 --> 00:54:22.700]  像我們之前學過橫盤很長很長的時間
[00:54:22.700 --> 00:54:24.700]  像很多牛股是不是這樣橫盤了三年
[00:54:24.700 --> 00:54:28.700]  啪一個周牙線破局後面就走出了主聲了
[00:54:28.700 --> 00:54:29.700]  對不對
[00:54:29.700 --> 00:54:32.700]  就是我這個趕破局在於什麼
[00:54:32.700 --> 00:54:36.700]  我敢打破原來的局產生新的局面
[00:54:36.700 --> 00:54:38.700]  是不是強者思維
[00:54:38.700 --> 00:54:40.700]  所以我跟大家說真心話
[00:54:40.700 --> 00:54:41.700]  大家接下來做股票
