[00:00:00.000 --> 00:00:02.800]  你告诉我哪来的
[00:31:22.200 --> 00:31:24.200]  你还是ABC之后的整理
[00:31:24.200 --> 00:31:26.200]  大家能理解我意思吗
[00:31:26.200 --> 00:31:28.200]  那么随后是不是在这里转多之后
[00:31:28.200 --> 00:31:30.200]  的回调对这个3132
[00:31:30.200 --> 00:31:32.200]  接下来这个可以
[00:31:32.200 --> 00:31:34.200]  先转是走什么33
[00:31:34.200 --> 00:31:36.200]  在这能明白我意思没有
[00:31:36.200 --> 00:31:38.200]  这就是我说的对于
[00:31:38.200 --> 00:31:40.200]  怎么去确定预期走这个3呢
[00:31:40.200 --> 00:31:42.200]  好来我们来把这个
[00:31:42.200 --> 00:31:44.200]  功课拿出来
[00:31:44.200 --> 00:31:50.200]  功课拿出来把这个112
[00:31:50.200 --> 00:31:52.200]  是112
[00:31:52.200 --> 00:31:54.200]  走3的还是123132
[00:31:54.200 --> 00:31:56.200]  把它画一画啊
[00:31:56.200 --> 00:31:58.200]  然后第一个
[00:31:58.200 --> 00:32:00.200]  九目王
[00:32:00.200 --> 00:32:10.200]  德安金公
[00:32:10.200 --> 00:32:22.200]  光荣科技
[00:32:22.200 --> 00:32:24.200]  英川网络
[00:32:24.200 --> 00:32:26.200]  可以了这四个画画
[00:32:26.200 --> 00:32:34.200]  现在的功课就是你怎么去
[00:32:34.200 --> 00:32:36.200]  通过这个图
[00:32:36.200 --> 00:32:38.200]  光荣科技
[00:32:38.200 --> 00:32:40.200]  通过这个图推单
[00:32:40.200 --> 00:32:42.200]  我们现在的功课啊
[00:32:42.200 --> 00:32:44.200]  因为大家在这边
[00:32:44.200 --> 00:32:46.200]  毕竟上面有线
[00:32:46.200 --> 00:32:48.200]  我们的纸上有线
[00:32:48.200 --> 00:32:50.200]  所以每一次做功课的
[00:32:50.200 --> 00:32:52.200]  重点是不一样的啊
[00:32:52.200 --> 00:32:54.200]  你就标这是1
[00:32:54.200 --> 00:32:56.200]  标出来画箭头画波段
[00:32:56.200 --> 00:32:58.200]  在那颗线头上
[00:32:58.200 --> 00:33:00.200]  把1的高点标出来
[00:33:00.200 --> 00:33:02.200]  2的调整标出来
[00:33:02.200 --> 00:33:04.200]  然后那个什么3的拐点
[00:33:04.200 --> 00:33:06.200]  标出来
[00:33:06.200 --> 00:33:16.200]  还有个冰川网络
[00:33:16.200 --> 00:33:18.200]  光荣科技
[00:33:18.200 --> 00:33:20.200]  德安金公
[00:33:20.200 --> 00:33:22.200]  九目王
[00:33:22.200 --> 00:33:24.200]  因为这四个都是不同的
[00:33:24.200 --> 00:33:26.200]  有的吧
[00:33:26.200 --> 00:33:28.200]  没有
[00:33:28.200 --> 00:33:30.200]  给我看看
[00:33:32.200 --> 00:33:34.200]  还有呢
[00:33:34.200 --> 00:33:36.200]  没有
[00:33:36.200 --> 00:33:38.200]  这个
[00:33:38.200 --> 00:33:40.200]  这个
[00:33:40.200 --> 00:33:42.200]  这个
[00:33:42.200 --> 00:33:44.200]  这个
[00:33:44.200 --> 00:33:46.200]  这个
[00:33:46.200 --> 00:33:48.200]  这个
[00:33:48.200 --> 00:33:50.200]  这个
[00:33:50.200 --> 00:33:52.200]  这个
[00:33:52.200 --> 00:33:54.200]  这个
[00:33:54.200 --> 00:33:56.200]  这个
[00:33:56.200 --> 00:33:58.200]  这个
[00:33:58.200 --> 00:34:00.200]  这个
[00:34:00.200 --> 00:34:02.200]  这个
[00:34:02.200 --> 00:34:04.200]  这个
[00:34:04.200 --> 00:34:06.200]  这个
[00:34:06.200 --> 00:34:08.200]  光荣科技在这里啊
[00:34:08.200 --> 00:34:10.200]  就这四张
[00:34:10.200 --> 00:34:12.200]  就这四张你压在下面
[00:34:14.200 --> 00:34:16.200]  这里的反光
[00:34:16.200 --> 00:34:18.200]  这个
[00:34:18.200 --> 00:34:20.200]  这里的反光
[00:34:20.200 --> 00:34:22.200]  这里的反光
[00:34:22.200 --> 00:34:24.200]  这里的反光
[00:34:24.200 --> 00:34:26.200]  这里的反光
[00:34:26.200 --> 00:34:28.200]  这里的反光
[00:34:28.200 --> 00:34:30.200]  这里的反光
[00:34:30.200 --> 00:34:32.200]  这里的反光
[00:34:32.200 --> 00:34:34.200]  这里的反光
[00:34:34.200 --> 00:34:36.200]  这里的反光
[00:34:36.200 --> 00:34:38.200]  这里的反光
[00:34:38.200 --> 00:34:40.200]  这里的反光
[00:34:40.200 --> 00:34:42.200]  这里的反光
[00:34:42.200 --> 00:34:44.200]  这里的反光
[00:34:44.200 --> 00:34:46.200]  这里的反光
[00:34:46.200 --> 00:34:48.200]  这里的反光
[00:34:48.200 --> 00:34:50.200]  这里的反光
[00:34:50.200 --> 00:34:52.200]  这里的反光
[00:34:52.200 --> 00:34:54.200]  这里的反光
[00:34:54.200 --> 00:34:56.200]  这里的反光
[00:34:56.200 --> 00:34:58.200]  这里的反光
[00:34:58.200 --> 00:35:00.200]  这里的反光
[00:35:00.200 --> 00:35:02.200]  这里的反光
[00:35:02.200 --> 00:35:04.200]  这里的反光
[00:35:04.200 --> 00:35:06.200]  这里的反光
[00:35:06.200 --> 00:35:08.200]  这里的反光
[00:35:08.200 --> 00:35:10.200]  这里的反光
[00:35:10.200 --> 00:35:12.200]  这里的反光
[00:35:12.200 --> 00:35:14.200]  这里的反光
[00:35:14.200 --> 00:35:16.200]  这里的反光
[00:35:16.200 --> 00:35:18.200]  这里的反光
[00:35:18.200 --> 00:35:20.200]  这里的反光
[00:35:20.200 --> 00:35:22.200]  这里的反光
[00:35:22.200 --> 00:35:24.200]  这里的反光
[00:35:24.200 --> 00:35:26.200]  这里的反光
[00:35:26.200 --> 00:35:28.200]  这里的反光
[00:35:28.200 --> 00:35:30.200]  这里的反光
[00:35:30.200 --> 00:35:32.200]  这里的反光
[00:35:32.200 --> 00:35:34.200]  这里的反光
[00:35:34.200 --> 00:35:36.200]  这里的反光
[00:35:36.200 --> 00:35:38.200]  这里的反光
[00:35:38.200 --> 00:35:40.200]  这里的反光
[00:35:40.200 --> 00:35:42.200]  这里的反光
[00:35:42.200 --> 00:35:44.200]  这里的反光
[00:35:44.200 --> 00:35:46.200]  这里的反光
[00:35:46.200 --> 00:35:48.200]  这里的反光
[00:35:48.200 --> 00:35:50.200]  这里的反光
[00:35:50.200 --> 00:35:52.200]  这里的反光
[00:35:52.200 --> 00:35:54.200]  这里的反光
[00:35:54.200 --> 00:35:56.200]  这里的反光
[00:35:56.200 --> 00:35:58.200]  这里的反光
[00:35:58.200 --> 00:36:00.200]  这里的反光
[00:36:00.200 --> 00:36:02.200]  这里的反光
[00:36:02.200 --> 00:36:04.200]  这里的反光
[00:36:04.200 --> 00:36:06.200]  这里的反光
[00:36:06.200 --> 00:36:08.200]  这里的反光
[00:36:08.200 --> 00:36:10.200]  这里的反光
[00:36:10.200 --> 00:36:12.200]  这里的反光
[00:36:12.200 --> 00:36:14.200]  这里的反光
[00:36:14.200 --> 00:36:16.200]  这里的反光
[00:36:16.200 --> 00:36:18.200]  这里的反光
[00:36:18.200 --> 00:36:20.200]  这里的反光
[00:36:20.200 --> 00:36:22.200]  这里的反光
[00:36:22.200 --> 00:36:24.200]  这里的反光
[00:36:24.200 --> 00:36:26.200]  这里的反光
[00:36:26.200 --> 00:36:28.200]  这里的反光
[00:36:28.200 --> 00:36:30.200]  这里的反光
[00:36:30.200 --> 00:36:32.200]  这里的反光
[00:36:32.200 --> 00:36:34.200]  这里的反光
[00:36:34.200 --> 00:36:36.200]  这里的反光
[00:36:36.200 --> 00:36:38.200]  这里的反光
[00:36:38.200 --> 00:36:40.200]  这里的反光
[00:36:40.200 --> 00:36:42.200]  这里的反光
[00:36:42.200 --> 00:36:44.200]  这里的反光
[00:36:44.200 --> 00:36:46.200]  这里的反光
[00:36:46.200 --> 00:36:48.200]  这里的反光
[00:36:48.200 --> 00:36:50.200]  这里的反光
[00:36:50.200 --> 00:36:52.200]  这里的反光
[00:36:52.200 --> 00:36:54.200]  这里的反光
[00:36:54.200 --> 00:36:56.200]  这里的反光
[00:36:56.200 --> 00:36:58.200]  这里的反光
[00:36:58.200 --> 00:37:00.200]  这里的反光
[00:37:00.200 --> 00:37:02.200]  这里的反光
[00:37:02.200 --> 00:37:04.200]  这里的反光
[00:37:04.200 --> 00:37:06.200]  这里的反光
[00:37:06.200 --> 00:37:08.200]  这里的反光
[00:37:08.200 --> 00:37:10.200]  这里的反光
[00:37:10.200 --> 00:37:12.200]  这里的反光
[00:37:12.200 --> 00:37:14.200]  这里的反光
[00:37:14.200 --> 00:37:16.200]  这里的反光
[00:37:16.200 --> 00:37:18.200]  这里的反光
[00:37:18.200 --> 00:37:20.200]  这里的反光
[00:37:20.200 --> 00:37:22.200]  这里的反光
[00:37:22.200 --> 00:37:24.200]  这里的反光
[00:37:24.200 --> 00:37:26.200]  这里的反光
[00:37:26.200 --> 00:37:28.200]  这里的反光
[00:37:28.200 --> 00:37:30.200]  这里的反光
[00:37:30.200 --> 00:37:32.200]  这里的反光
[00:37:32.200 --> 00:37:34.200]  这里的反光
[00:37:34.200 --> 00:37:36.200]  这里的反光
[00:37:36.200 --> 00:37:38.200]  这里的反光
[00:37:38.200 --> 00:37:40.200]  这里的反光
[00:37:40.200 --> 00:37:42.200]  这里的反光
[00:37:42.200 --> 00:37:44.200]  这里的反光
[00:37:44.200 --> 00:37:46.200]  这里的反光
[00:37:46.200 --> 00:37:48.200]  这里的反光
[00:37:48.200 --> 00:37:50.200]  这里的反光
[00:37:50.200 --> 00:37:52.200]  这里的反光
[00:37:52.200 --> 00:37:54.200]  这里的反光
[00:37:54.200 --> 00:37:56.200]  这里的反光
[00:37:56.200 --> 00:37:58.200]  这里的反光
[00:37:58.200 --> 00:38:00.200]  这里的反光
[00:38:00.200 --> 00:38:02.200]  这里的反光
[00:38:02.200 --> 00:38:04.200]  这里的反光
[00:38:04.200 --> 00:38:06.200]  这里的反光
[00:38:06.200 --> 00:38:08.200]  这里的反光
[00:38:08.200 --> 00:38:10.200]  这里的反光
[00:38:10.200 --> 00:38:12.200]  这里的反光
[00:38:12.200 --> 00:38:14.200]  这里的反光
[00:38:14.200 --> 00:38:16.200]  这里的反光
[00:38:16.200 --> 00:38:18.200]  这里的反光
[00:38:18.200 --> 00:38:20.200]  这里的反光
[00:38:20.200 --> 00:38:22.200]  这里的反光
[00:38:22.200 --> 00:38:24.200]  这里的反光
[00:38:24.200 --> 00:38:26.200]  这里的反光
[00:38:26.200 --> 00:38:28.200]  这里的反光
[00:38:28.200 --> 00:38:30.200]  这里的反光
[00:38:30.200 --> 00:38:32.200]  这里的反光
[00:38:32.200 --> 00:38:34.200]  这里的反光
[00:38:34.200 --> 00:38:36.200]  这里的反光
[00:38:36.200 --> 00:38:38.200]  这里的反光
[00:38:38.200 --> 00:38:40.200]  这里的反光
[00:38:40.200 --> 00:38:42.200]  这里的反光
[00:38:42.200 --> 00:38:44.200]  这里的反光
[00:38:44.200 --> 00:38:46.200]  这里的反光
[00:38:46.200 --> 00:38:48.200]  这里的反光
[00:38:48.200 --> 00:38:50.200]  这里的反光
[00:38:50.200 --> 00:38:52.200]  这里的反光
[00:38:52.200 --> 00:38:54.200]  这里的反光
[00:38:54.200 --> 00:38:56.200]  这里的反光
[00:38:56.200 --> 00:38:58.200]  这里的反光
[00:38:58.200 --> 00:39:00.200]  这里的反光
[00:39:00.200 --> 00:39:02.200]  这里的反光
[00:39:02.200 --> 00:39:04.200]  这里的反光
[00:39:04.200 --> 00:39:06.200]  这里的反光
[00:39:06.200 --> 00:39:08.200]  这里的反光
[00:39:08.200 --> 00:39:10.200]  这里的反光
[00:39:10.200 --> 00:39:12.200]  这里的反光
[00:39:12.200 --> 00:39:14.200]  这里的反光
[00:39:14.200 --> 00:39:16.200]  这里的反光
[00:39:16.200 --> 00:39:18.200]  这里的反光
[00:39:18.200 --> 00:39:20.200]  这里的反光
[00:39:20.200 --> 00:39:22.200]  这里的反光
[00:39:22.200 --> 00:39:24.200]  这里的反光
[00:39:24.200 --> 00:39:26.200]  这里的反光
[00:39:26.200 --> 00:39:28.200]  这里的反光
[00:39:28.200 --> 00:39:30.200]  这里的反光
[00:39:30.200 --> 00:39:32.200]  这里的反光
[00:39:32.200 --> 00:39:34.200]  这里的反光
[00:39:34.200 --> 00:39:36.200]  这里的反光
[00:39:36.200 --> 00:39:38.200]  这里的反光
[00:39:38.200 --> 00:39:40.200]  这里的反光
[00:39:40.200 --> 00:39:42.200]  这里的反光
[00:39:42.200 --> 00:39:44.200]  这里的反光
[00:39:44.200 --> 00:39:46.200]  这里的反光
[00:39:46.200 --> 00:39:48.200]  这里的反光
[00:39:48.200 --> 00:39:50.200]  这里的反光
[00:39:50.200 --> 00:39:52.200]  这里的反光
[00:39:52.200 --> 00:39:54.200]  这里的反光
[00:39:54.200 --> 00:39:56.200]  这里的反光
[00:39:56.200 --> 00:39:58.200]  这里的反光
[00:39:58.200 --> 00:40:00.200]  这里的反光
[00:40:00.200 --> 00:40:02.200]  这里的反光
[00:40:02.200 --> 00:40:04.200]  这里的反光
[00:40:04.200 --> 00:40:06.200]  这里的反光
[00:40:06.200 --> 00:40:08.200]  这里的反光
[00:40:08.200 --> 00:40:10.200]  这里的反光
[00:40:10.200 --> 00:40:12.200]  这里的反光
[00:40:12.200 --> 00:40:14.200]  这里的反光
[00:40:14.200 --> 00:40:16.200]  这里的反光
[00:40:16.200 --> 00:40:18.200]  这里的反光
[00:40:18.200 --> 00:40:20.200]  这里的反光
[00:40:20.200 --> 00:40:22.200]  这里的反光
[00:40:22.200 --> 00:40:24.200]  这里的反光
[00:40:24.200 --> 00:40:26.200]  这里的反光
[00:40:26.200 --> 00:40:28.200]  这里的反光
[00:40:28.200 --> 00:40:30.200]  这里的反光
[00:40:30.200 --> 00:40:32.200]  这里的反光
[00:40:32.200 --> 00:40:34.200]  这里的反光
[00:40:34.200 --> 00:40:36.200]  这里的反光
[00:40:36.200 --> 00:40:38.200]  这里的反光
[00:40:38.200 --> 00:40:40.200]  这里的反光
[00:40:40.200 --> 00:40:42.200]  这里的反光
[00:40:42.200 --> 00:40:44.200]  这里的反光
[00:40:44.200 --> 00:40:46.200]  这里的反光
[00:40:46.200 --> 00:40:48.200]  这里的反光
[00:40:48.200 --> 00:40:50.200]  这里的反光
[00:40:50.200 --> 00:40:52.200]  这里的反光
[00:40:52.200 --> 00:40:54.200]  这里的反光
[00:40:54.200 --> 00:40:56.200]  这里的反光
[00:40:56.200 --> 00:40:58.200]  这里的反光
[00:40:58.200 --> 00:41:00.200]  这里的反光
[00:41:00.200 --> 00:41:02.200]  这里的反光
[00:41:02.200 --> 00:41:04.200]  这里的反光
[00:41:04.200 --> 00:41:06.200]  这里的反光
[00:41:06.200 --> 00:41:08.200]  这里的反光
[00:41:08.200 --> 00:41:10.200]  这里的反光
[00:41:10.200 --> 00:41:12.200]  这里的反光
[00:41:12.200 --> 00:41:14.200]  这里的反光
[00:41:14.200 --> 00:41:16.200]  这里的反光
[00:41:16.200 --> 00:41:18.200]  这里的反光
[00:41:18.200 --> 00:41:20.200]  这里的反光
[00:41:20.200 --> 00:41:22.200]  这里的反光
[00:41:22.200 --> 00:41:24.200]  这里的反光
[00:41:24.200 --> 00:41:26.200]  这里的反光
[00:41:26.200 --> 00:41:28.200]  这里的反光
[00:41:28.200 --> 00:41:30.200]  这里的反光
[00:41:30.200 --> 00:41:32.200]  这里的反光
[00:41:32.200 --> 00:41:34.200]  这里的反光
[00:41:34.200 --> 00:41:36.200]  这里的反光
[00:41:36.200 --> 00:41:38.200]  这里的反光
[00:41:38.200 --> 00:41:40.200]  这里的反光
[00:41:40.200 --> 00:41:42.200]  这里的反光
[00:41:42.200 --> 00:41:44.200]  这里的反光
[00:41:44.200 --> 00:41:46.200]  这里的反光
[00:41:46.200 --> 00:41:48.200]  这里的反光
[00:41:48.200 --> 00:41:50.200]  这里的反光
[00:41:50.200 --> 00:41:52.200]  这里的反光
[00:41:52.200 --> 00:41:54.200]  这里的反光
[00:41:54.200 --> 00:41:56.200]  这里的反光
[00:41:56.200 --> 00:41:58.200]  这里的反光
[00:41:58.200 --> 00:42:00.200]  这里的反光
[00:42:00.200 --> 00:42:02.200]  这里的反光
[00:42:02.200 --> 00:42:04.200]  这里的反光
[00:42:04.200 --> 00:42:06.200]  这里的反光
[00:42:06.200 --> 00:42:08.200]  这里的反光
[00:42:08.200 --> 00:42:10.200]  这里的反光
[00:42:10.200 --> 00:42:12.200]  这里的反光
[00:42:12.200 --> 00:42:14.200]  这里的反光
[00:42:14.200 --> 00:42:16.200]  这里的反光
[00:42:16.200 --> 00:42:18.200]  这里的反光
[00:42:18.200 --> 00:42:20.200]  这里的反光
[00:42:20.200 --> 00:42:22.200]  这里的反光
[00:42:22.200 --> 00:42:24.200]  这里的反光
[00:42:24.200 --> 00:42:26.200]  这里的反光
[00:42:26.200 --> 00:42:28.200]  这里的反光
[00:42:28.200 --> 00:42:30.200]  这里的反光
[00:42:30.200 --> 00:42:32.200]  这里的反光
[00:42:32.200 --> 00:42:34.200]  这里的反光
[00:42:34.200 --> 00:42:36.200]  这里的反光
[00:42:36.200 --> 00:42:38.200]  这里的反光
[00:42:38.200 --> 00:42:40.200]  这里的反光
[00:42:40.200 --> 00:42:42.200]  这里的反光
[00:42:42.200 --> 00:42:44.200]  这里的反光
[00:42:44.200 --> 00:42:46.200]  这里的反光
[00:42:46.200 --> 00:42:48.200]  这里的反光
[00:42:48.200 --> 00:42:50.200]  这里的反光
[00:42:50.200 --> 00:42:52.200]  这里的反光
[00:42:52.200 --> 00:42:54.200]  这里的反光
[00:42:54.200 --> 00:42:56.200]  这里的反光
[00:42:56.200 --> 00:42:58.200]  这里的反光
[00:42:58.200 --> 00:43:00.200]  这里的反光
[00:43:00.200 --> 00:43:02.200]  这里的反光
[00:43:02.200 --> 00:43:04.200]  这里的反光
[00:43:04.200 --> 00:43:06.200]  这里的反光
[00:43:06.200 --> 00:43:08.200]  这里的反光
[00:43:08.200 --> 00:43:10.200]  这里的反光
[00:43:10.200 --> 00:43:12.200]  这里的反光
[00:43:12.200 --> 00:43:14.200]  这里的反光
[00:43:14.200 --> 00:43:16.200]  这里的反光
[00:43:16.200 --> 00:43:18.200]  这里的反光
[00:43:18.200 --> 00:43:20.200]  这里的反光
[00:43:20.200 --> 00:43:22.200]  这里的反光
[00:43:22.200 --> 00:43:24.200]  这里的反光
[00:43:24.200 --> 00:43:26.200]  这里的反光
[00:43:26.200 --> 00:43:28.200]  这里的反光
[00:43:28.200 --> 00:43:30.200]  这里的反光
[00:43:30.200 --> 00:43:32.200]  这里的反光
[00:43:32.200 --> 00:43:34.200]  这里的反光
[00:43:34.200 --> 00:43:36.200]  这里的反光
[00:43:36.200 --> 00:43:38.200]  这里的反光
[00:43:38.200 --> 00:43:40.200]  这里的反光
[00:43:40.200 --> 00:43:42.200]  这里的反光
[00:43:42.200 --> 00:43:44.200]  这里的反光
[00:43:44.200 --> 00:43:46.200]  这里的反光
[00:43:46.200 --> 00:43:48.200]  这里的反光
[00:43:48.200 --> 00:43:50.200]  这里的反光
[00:43:50.200 --> 00:43:52.200]  这里的反光
[00:43:52.200 --> 00:43:54.200]  这里的反光
[00:43:54.200 --> 00:43:56.200]  这里的反光
[00:43:56.200 --> 00:43:58.200]  这里的反光
[00:43:58.200 --> 00:44:00.200]  这里的反光
[00:44:00.200 --> 00:44:02.200]  这里的反光
[00:44:02.200 --> 00:44:04.200]  这里的反光
[00:44:04.200 --> 00:44:06.200]  这里的反光
[00:44:06.200 --> 00:44:08.200]  这里的反光
[00:44:08.200 --> 00:44:10.200]  这里的反光
[00:44:10.200 --> 00:44:12.200]  这里的反光
[00:44:12.200 --> 00:44:14.200]  这里的反光
[00:44:14.200 --> 00:44:16.200]  这里的反光
[00:44:16.200 --> 00:44:18.200]  这里的反光
[00:44:18.200 --> 00:44:20.200]  这里的反光
[00:44:20.200 --> 00:44:22.200]  这里的反光
[00:44:22.200 --> 00:44:24.200]  这里的反光
[00:44:24.200 --> 00:44:26.200]  这里的反光
[00:44:26.200 --> 00:44:28.200]  这里的反光
[00:44:28.200 --> 00:44:30.200]  这里的反光
[00:44:30.200 --> 00:44:32.200]  这里的反光
[00:44:32.200 --> 00:44:34.200]  这里的反光
[00:44:34.200 --> 00:44:36.200]  这里的反光
[00:44:36.200 --> 00:44:38.200]  这里的反光
[00:44:38.200 --> 00:44:40.200]  这里的反光
[00:44:40.200 --> 00:44:42.200]  这里的反光
[00:44:42.200 --> 00:44:44.200]  这里的反光
[00:44:44.200 --> 00:44:46.200]  这里的反光
[00:44:46.200 --> 00:44:48.200]  这里的反光
[00:44:48.200 --> 00:44:50.200]  这里的反光
[00:44:50.200 --> 00:44:52.200]  这里的反光
[00:44:52.200 --> 00:44:54.200]  这里的反光
[00:44:54.200 --> 00:44:56.200]  这里的反光
[00:44:56.200 --> 00:44:58.200]  这里的反光
[00:44:58.200 --> 00:45:00.200]  这里的反光
[00:45:00.200 --> 00:45:02.200]  这里的反光
[00:45:02.200 --> 00:45:04.200]  这里的反光
[00:45:04.200 --> 00:45:06.200]  这里的反光
[00:45:06.200 --> 00:45:08.200]  这里的反光
[00:45:08.200 --> 00:45:10.200]  这里的反光
[00:45:10.200 --> 00:45:12.200]  这里的反光
[00:45:12.200 --> 00:45:14.200]  这里的反光
[00:45:14.200 --> 00:45:16.200]  这里的反光
[00:45:16.200 --> 00:45:18.200]  这里的反光
[00:45:18.200 --> 00:45:20.200]  这里的反光
[00:45:20.200 --> 00:45:22.200]  这里的反光
[00:45:22.200 --> 00:45:24.200]  这里的反光
[00:45:24.200 --> 00:45:26.200]  这里的反光
[00:45:26.200 --> 00:45:28.200]  这里的反光
[00:45:28.200 --> 00:45:30.200]  这里的反光
[00:45:30.200 --> 00:45:32.200]  这里的反光
[00:45:32.200 --> 00:45:34.200]  这里的反光
[00:45:34.200 --> 00:45:36.200]  这里的反光
[00:45:36.200 --> 00:45:38.200]  这里的反光
[00:45:38.200 --> 00:45:40.200]  这里的反光
[00:45:40.200 --> 00:45:42.200]  这里的反光
[00:45:42.200 --> 00:45:44.200]  这里的反光
[00:45:44.200 --> 00:45:46.200]  这里的反光
[00:45:46.200 --> 00:45:48.200]  这里的反光
[00:45:48.200 --> 00:45:50.200]  这里的反光
[00:45:50.200 --> 00:45:52.200]  这里的反光
[00:45:52.200 --> 00:45:54.200]  这里的反光
[00:45:54.200 --> 00:45:56.200]  这里的反光
[00:45:56.200 --> 00:45:58.200]  这里的反光
[00:45:58.200 --> 00:46:00.200]  这里的反光
[00:46:00.200 --> 00:46:02.200]  这里的反光
[00:46:02.200 --> 00:46:04.200]  这里的反光
[00:46:04.200 --> 00:46:06.200]  这里的反光
[00:46:06.200 --> 00:46:08.200]  这里的反光
[00:46:08.200 --> 00:46:10.200]  这里的反光
[00:46:10.200 --> 00:46:12.200]  这里的反光
[00:46:12.200 --> 00:46:14.200]  这里的反光
[00:46:14.200 --> 00:46:16.200]  这里的反光
[00:46:16.200 --> 00:46:18.200]  这里的反光
[00:46:18.200 --> 00:46:20.200]  这里的反光
[00:46:20.200 --> 00:46:22.200]  这里的反光
[00:46:22.200 --> 00:46:24.200]  这里的反光
[00:46:24.200 --> 00:46:26.200]  这里的反光
[00:46:26.200 --> 00:46:28.200]  这里的反光
[00:46:28.200 --> 00:46:30.200]  这里的反光
[00:46:30.200 --> 00:46:32.200]  这里的反光
[00:46:32.200 --> 00:46:34.200]  这里的反光
[00:46:34.200 --> 00:46:36.200]  这里的反光
[00:46:36.200 --> 00:46:38.200]  这里的反光
[00:46:38.200 --> 00:46:40.200]  这里的反光
[00:46:40.200 --> 00:46:42.200]  这里的反光
[00:46:42.200 --> 00:46:44.200]  这里的反光
[00:46:44.200 --> 00:46:46.200]  这里的反光
[00:46:46.200 --> 00:46:48.200]  这里的反光
[00:46:48.200 --> 00:46:50.200]  这里的反光
[00:46:50.200 --> 00:46:52.200]  这里的反光
[00:46:52.200 --> 00:46:54.200]  这里的反光
[00:46:54.200 --> 00:46:56.200]  这里的反光
[00:46:56.200 --> 00:46:58.200]  这里的反光
[00:46:58.200 --> 00:47:00.200]  这里的反光
[00:47:00.200 --> 00:47:02.200]  这里的反光
[00:47:02.200 --> 00:47:04.200]  这里的反光
[00:47:04.200 --> 00:47:06.200]  这里的反光
[00:47:06.200 --> 00:47:08.200]  这里的反光
[00:47:08.200 --> 00:47:10.200]  这里的反光
[00:47:10.200 --> 00:47:12.200]  这里的反光
[00:47:12.200 --> 00:47:14.200]  这里的反光
[00:47:14.200 --> 00:47:16.200]  这里的反光
[00:47:16.200 --> 00:47:18.200]  这里的反光
[00:47:18.200 --> 00:47:20.200]  这里的反光
[00:47:20.200 --> 00:47:22.200]  这里的反光
[00:47:22.200 --> 00:47:24.200]  这里的反光
[00:47:24.200 --> 00:47:26.200]  这里的反光
[00:47:26.200 --> 00:47:28.200]  这里的反光
[00:47:28.200 --> 00:47:30.200]  这里的反光
[00:47:30.200 --> 00:47:32.200]  这里的反光
[00:47:32.200 --> 00:47:34.200]  这里的反光
[00:47:34.200 --> 00:47:36.200]  这里的反光
[00:47:36.200 --> 00:47:38.200]  这里的反光
[00:47:38.200 --> 00:47:40.200]  这里的反光
[00:47:40.200 --> 00:47:42.200]  这里的反光
[00:47:42.200 --> 00:47:44.200]  这里的反光
[00:47:44.200 --> 00:47:46.200]  这里的反光
[00:47:46.200 --> 00:47:48.200]  这里的反光
[00:47:48.200 --> 00:47:50.200]  这里的反光
[00:47:50.200 --> 00:47:52.200]  这里的反光
[00:47:52.200 --> 00:47:54.200]  这里的反光
[00:47:54.200 --> 00:47:56.200]  这里的反光
[00:47:56.200 --> 00:47:58.200]  这里的反光
[00:47:58.200 --> 00:48:00.200]  这里的反光
[00:48:00.200 --> 00:48:02.200]  这里的反光
[00:48:02.200 --> 00:48:04.200]  这里的反光
[00:48:04.200 --> 00:48:06.200]  这里的反光
[00:48:06.200 --> 00:48:08.200]  这里的反光
[00:48:08.200 --> 00:48:10.200]  这里的反光
[00:48:10.200 --> 00:48:12.200]  这里的反光
[00:48:12.200 --> 00:48:14.200]  这里的反光
[00:48:14.200 --> 00:48:16.200]  这里的反光
[00:48:16.200 --> 00:48:18.200]  这里的反光
[00:48:18.200 --> 00:48:20.200]  这里的反光
[00:48:20.200 --> 00:48:22.200]  这里的反光
[00:48:22.200 --> 00:48:24.200]  这里的反光
[00:48:24.200 --> 00:48:26.200]  这里的反光
[00:48:26.200 --> 00:48:28.200]  这里的反光
[00:48:28.200 --> 00:48:30.200]  这里的反光
[00:48:30.200 --> 00:48:32.200]  这里的反光
[00:48:32.200 --> 00:48:34.200]  这里的反光
[00:48:34.200 --> 00:48:36.200]  这里的反光
[00:48:36.200 --> 00:48:38.200]  这里的反光
[00:48:38.200 --> 00:48:40.200]  这里的反光
[00:48:40.200 --> 00:48:42.200]  这里的反光
[00:48:42.200 --> 00:48:44.200]  这里的反光
[00:48:44.200 --> 00:48:46.200]  这里的反光
[00:48:46.200 --> 00:48:48.200]  这里的反光
[00:48:48.200 --> 00:48:50.200]  这里的反光
[00:48:50.200 --> 00:48:52.200]  这里的反光
[00:48:52.200 --> 00:48:54.200]  这里的反光
[00:48:54.200 --> 00:48:56.200]  这里的反光
[00:48:56.200 --> 00:48:58.200]  这里的反光
[00:48:58.200 --> 00:49:00.200]  这里的反光
[00:49:00.200 --> 00:49:02.200]  这里的反光
[00:49:02.200 --> 00:49:04.200]  这里的反光
[00:49:04.200 --> 00:49:06.200]  这里的反光
[00:49:06.200 --> 00:49:08.200]  这里的反光
[00:49:08.200 --> 00:49:10.200]  这里的反光
[00:49:10.200 --> 00:49:12.200]  这里的反光
